"CODE";"NAME";"KET_UK";"BARCODE";"MARKUP";"HARGA_BELI";"SUPP";"MAX_STOCK";"RATA2_PENJUALAN";"PANJANG";"LEBAR";"TINGGI"
"1012113";"DELMONTE WL.KNL.CORN FRESH CUP";"420 GR";"024000163022";"17.5";"16516";"645";"10";"2.13";"8";"8";"11"
"1012129";"MALING FYF GREEN PEAS";"397 GR";"6901009052028";"17.5";"10290";"661Y";"10";"2.73";"7";"7";"11"
"1012138";"NARCISSUS LYCHEE";"567 GR";"6901009370009";"17.5";"24584";"1324";"4";"1.5";"9";"9";"12"
"1013052";"WONG COCO GOLDEN SWEET CORN";"425 GR";"8998288425719";"17.5";"12100";"575B";"10";"2.47";"8";"8";"11"
"1013190";"CIRIO POMODORI PELATI TOMATO";"400 GR";"8000320010026";"17.5";"22000";"2371";"16";"6.13";"8";"8";"11"
"1013215";"MARASCHINO CHERRIES RED";"10 OZ";"071943617655";"17.5";"43954";"661T";"4";"1.06";"0";"0";"0"
"1013279";"AYAM BRAND BAKED BEANS";"425 GR";"9556041602198";"17.5";"17370";"512C";"17";"6.7";"7";"7";"11"
"1013280";"AYAM BRAND BAKED BEANS";"230 GR";"9556041602204";"17.5";"10579";"512C";"15";"5.1";"7";"7";"8"
"1013449";"AYAM BRAND BAKED BEANS LIGHT";"425 GR";"9556041610384";"17.5";"17369";"512C";"5";"1.03";"7";"7";"11"
"1013521";"LARAMBLA GREEN PITTED OLIVES";"235 GR";"8433260502007";"17.5";"39200";"665";"6";"1.17";"6";"6";"13"
"1013556";"LA COSTENA WHOLE PINTO BEANS";"400 GR";"076397033006";"17.5";"23522";"0036";"5";"1.5";"8";"8";"8"
"1013575";"KUHNE PICKLED GHERKINS";"370 ML";"039045040290";"17.5";"40100";"556F";"5";"1.4";"7";"8";"11"
"1013585";"BONDUELLE RED KIDNEY BEANS";"400 GR";"3083680043144";"17.5";"32030";"620";"4";"1.38";"8.5";"8.5";"8.5"
"1013588";"BONDUELLE GREEN PEAS";"200 GR";"3083680003964";"17.5";"18364";"620";"12";"3.8";"6";"6";"7"
"1013606";"AYAM BRAND BAKED BEANS CHEESE";"425 GR";"9556041600477";"17.5";"18202";"512C";"10";"2.25";"7";"7";"11"
"1013620";"DOLE TROPICAL FRUIT COCKTAIL";"836 GR";"4800009091421";"17.5";"27225";"661T";"4";"1.35";"0";"0";"0"
"1013622";"LINDSAY OLIVE RIPE PITTED M";"170 GR";"053800039008";"17.5";"35292";"661Y";"10";"2.15";"7.5";"7.5";"14"
"1013623";"AYAM BRAND TOMATO PUREE";"450 GR";"9556041603324";"17.5";"24261";"512C";"10";"3";"7";"7";"11"
"1013624";"AYAM BRAND TOMATO PUREE";"160 GR";"9556041604239";"17.5";"12330";"512C";"21";"5.75";"5.7";"9";"5"
"1013632";"JAWI GHERKIN PICKLES";"330 GR";"8995208200166";"17.5";"29938";"1132";"5";"1.17";"7";"7";"12"
"1013658";"AYAM BRAND PROCESSED PEAS";"425 GR";"9556041603409";"17.5";"15700";"512C";"5";"1.57";"8";"8";"12"
"1013675";"SW WHOLE KERNEL CORN";"410 GR";"8888111740006";"17.5";"13500";"911";"5";"1.48";"8";"8";"12"
"1013683";"CIRIO RED KIDNEY BEANS";"400 GR";"8001440127021";"17.5";"20917";"2371";"15";"4.69";"8";"8";"12"
"1013685";"CIRIO CECI CHICK PEAS";"400 GR";"8000320030093";"17.5";"20667";"2371";"15";"4.92";"8";"8";"11"
"1013686";"CIRIO BUTTER BEANS";"400 GR";"8001440122361";"17.5";"22580";"2371";"5";"1.54";"8";"8";"11"
"1013687";"CIRIO BORLOTTI BEANS";"410 GR";"8000320030109";"17.5";"23000";"2371";"5";"1.14";"8";"8";"12"
"1013701";"MEILY LYCHEE IN HEAVY SYRUP";"565 GR";"6952015121703";"17.5";"30590";"1749";"10";"2.9";"8";"8";"11"
"1013706";"MAMATA ASPARAGUS SPEARS";"430 GR";"6904555699211";"17.5";"28585";"2459";"5";"1.03";"7";"7";"11"
"1013710";"SW BLACK BEANS";"400 GR";"011194387655";"17.5";"26730";"620";"5";"1.23";"7";"7";"11"
"1013717";"MEGLIO CHOPPED TOMATOES";"400 GR";"8015435019062";"17.5";"15400";"1318";"4";"1.58";"0";"0";"0"
"1013718";"AROY-D JACKFRUIT IN SYRUP";"565 GR";"016229001940";"17.5";"35580";"556";"8";"1.75";"0";"0";"0"
"1013722";"CIRIO POLPA";"400 GR";"8000320010118";"17.5";"22000";"2371";"26";"10.2";"8";"8";"11"
"1013735";"AMOY SALTED BLACK BEANS";"170 GR";"2414636030016";"17.5";"7457";"2459";"5";"1.11";"8";"8";"5.5"
"1013747";"FIGARO GREENOLIVES W/PIMIENTO";"450 GR";"8410159044336";"17.5";"58524";"1749";"5";"1.4";"8";"8";"17"
"1013749";"NARAYA MUSHROOM CHOICE WHOLE";"425 GR";"8997002050435";"17.5";"14580";"4252";"10";"2.3";"8";"8";"12"
